SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,song_hotttnesss,artist_familiarity,artist_hotttnesss,release,analysis_sample_rate,end_of_fade_in,energy,key,loudness,mode,start_of_fade_out,track_id
13,"b'SOMUYGI12AB0188633'",575792,"b'Placer & Castigo'","b'ARL7K851187B99ACD2'",,"b''",,"b'Andy Andy'",0.0,226.35057,9,0.205,130.04,4,0.0,"b'La Culpa'",0,0.0,0.5775089743252977,0.3794821702804675,b'Placer & Castigo',22050,0.0,0.0,9,-6.632,1,221.553,b'TRAABDL12903CAABBA'
14,"b'SORAMLE12AB017C8B0'",815863,"b'Arrivederci'","b'ARHHO3O1187B989413'",,"b''",,"b'Bob Azzam'",0.0,191.84281,10,0.0,137.334,1,0.319,"b'Auguri Cha Cha'",0,0.0,0.08551204710857879,0.25193652476242323,b'Arrivederci',22050,0.38,0.0,10,-7.75,0,188.424,b'TRAABJL12903CDCF1A'
15,"b'SOBONFF12A6D4F84D8'",25811,"b'Dancing On The Ceiling'","b'ARIK43K1187B9AE54C'",,"b'Beverly Hills CA'",,"b'Lionel Richie'",0.0,307.3824,3,0.524,125.197,3,0.211,"b'Tonight Will Be Alright'",1986,nan,0.7766758556845541,0.5530719914619753,b'Dancing On The Ceiling',22050,0.612,0.0,3,-8.346,1,296.658,b'TRAABJV128F1460C49'
16,"b'SOHUOAP12A8AE488E9'",135122,"b'Outskirts'","b'ARD842G1187B997376'",43.64856,"b'Toronto Ontario Canada'",-79.38533,"b'Blue Rodeo'",0.0,491.12771,7,1.0,119.826,4,0.756,"b'Floating'",1987,0.4051157216913865,0.6364236449500698,0.4479354804795022,b'Outskirts',22050,0.0,0.0,7,-8.576,1,486.034,b'TRAABLR128F423B7E3'
17,"b'SOUQQEA12A8C134B1B'",149958,"b'Cross Currents'","b'ARIG6O41187B988BDD'",37.16793,"b'United States'",-95.84502,"b'Richard Souther'",0.0,228.5971,8,0.041,127.756,5,0.579,"b'High Tide'",0,0.3347065490692206,0.4199431484349393,0.33080635685585685,b'Cross Currents',22050,0.223,0.0,8,-16.11,1,217.426,b'TRAABNV128F425CEE1'
18,"b'SOILPQQ12AB017E82A'",535188,"b'Panjtan Ka Ghulam'","b'AR1ZHYZ1187FB3C717'",,"b''",,"b'Faiz Ali Faiz'",0.0,599.24853,6,0.06,99.273,4,0.158,"b'Sohna Nee Sohna Data'",0,nan,0.3632805711099885,0.30667609347902947,b'Panjtan Ka Ghulam',22050,1.193,0.0,6,-8.032,1,591.999,b'TRAABRB128F9306DD5'
19,"b'SOXLBJT12A8C140925'",372309,"b'Gold'","b'ARYKCQI1187FB3B18F'",,"b''",,"b'Tesla'",0.0,290.29832,7,0.725,150.062,4,0.931,"b'Caught In A Dream'",2004,0.6841361912294903,0.7071997638379363,0.5134632897021558,b'Gold',22050,0.145,0.0,7,-5.271,1,285.605,b'TRAABVM128F92CA9DC'
20,"b'SOZVMJI12AB01808AF'",541101,"b'Whatever Happened To Boredom?'","b'ARNPAGP1241B9C7FD4'",,"b''",,"b'lextrical'",0.0,165.69424,7,0.011,138.331,4,0.127,"b'Synthetic Dream'",0,0.0,0.32031437017067216,0.0,b'Whatever Happened To Boredom?',22050,0.162,0.0,7,-6.787,1,157.391,b'TRAABXG128F9318EBD'
21,"b'SOWTBJW12AC468AC6E'",605134,"b'1942-1952 Jimmy Wakely'","b'ARQGYP71187FB44566'",34.31109,"b'Mineola AR'",-94.02978,"b'Jimmy Wakely'",0.0,151.84934,1,0.799,86.186,3,0.929,"b'Broken-Down Merry-Go-Round'",0,nan,0.39413853984589253,0.29153972708877773,b'1942-1952 Jimmy Wakely',22050,2.827,0.0,1,-15.221,1,146.199,b'TRAABYN12903CFD305'
22,"b'SOBEBDG12A58A76D60'",239740,"b'All The Good Times'","b'ARI3BMM1187FB4255E'",38.8991,"b'Washington'",-77.029,"b'Alice Stuart'",0.0,220.78649,11,0.809,110.382,1,0.192,"b'Kassie Jones'",0,0.0,0.4898162689820407,0.3285530150180186,b'All The Good Times',22050,0.206,0.0,11,-8.514,1,207.656,b'TRAABYW128F4244559'
23,"b'SOZCTXZ12AB0182364'",386995,"b'Un cafe_ setanta matins'","b'AR5KOSW1187FB35FF4'",49.80388,"b'Dubai UAE'",15.47491,"b'Elena'",0.0,269.58322,2,0.596,111.874,4,1.0,"b'Setanta matins'",0,0.3135621142479342,0.6774204652262298,0.37825468551016656,b'Un cafe_ setanta matins',22050,0.0,0.0,2,-8.05,1,256.168,b'TRAACCG128F92E8A55'
24,"b'SOBBUGU12A8C13E95D'",223365,"b'Miss Machine'","b'ARMAC4T1187FB3FA4C'",40.82624,"b'Morris Plains NJ'",-74.47995,"b'The Dillinger Escape Plan'",0.0,207.77751,7,0.381,166.862,4,0.0,"b'Setting Fire to Sleeping Giants'",2004,0.6665278462297023,0.839962768151037,0.5418889720336469,b'Miss Machine',22050,0.061,0.0,7,-4.264,1,204.696,b'TRAACER128F4290F96'
25,"b'SOBLGCN12AB0183212'",652784,"b'Sue Thompson - Her Very Best'","b'AR47JEX1187B995D81'",37.83721,"b'Nevada MO'",-94.35868,"b'SUE THOMPSON'",0.0,124.86485,10,0.697,137.522,4,0.0,"b'James (Hold The Ladder Steady)'",1985,0.4952936212921635,0.43541581815506936,0.3062422642462862,b'Sue Thompson - Her Very Best',22050,0.0,0.0,10,-12.332,1,115.74,b'TRAACFV128F935E50B'
26,"b'SOPSWQW12A6D4F8781'",45730,"b'Live'","b'ARGIWFO1187B9B55B7'",,"b''",,"b'Five Bolt Main'",0.0,225.09669,7,0.53,164.672,1,0.0,"b'Made Like This (Live)'",0,0.37598430150044215,0.6090637000310501,0.3636513650591166,b'Live',22050,0.0,0.0,7,-5.908,1,225.097,b'TRAACHN128F1489601'
27,"b'SOZQDIU12A58A7BCF6'",672016,"b'Strictly Confidential'","b'ARNTLGG11E2835DDB9'",,"b''",,"b'Clp'",0.0,338.31138,6,0.687,125.006,4,1.0,"b'Superconfidential'",0,nan,0.5505136978482137,0.42270564102939107,b'Strictly Confidential',22050,0.0,0.0,6,-6.486,0,338.311,b'TRAACIW12903CC0F6D'
28,"b'SONYPOM12A8C13B2D7'",160881,"b'The Real Twang Thang'","b'ARDNS031187B9924F0'",32.67828,"b'Georgia'",-83.22295,"b'Tim Wilson'",0.0,186.48771,5,0.762,90.022,1,0.971,"b'I Think My Wife Is Running Around On Me (Taco Hell)'",2005,nan,0.4597971288376104,0.3499126116745628,b'The Real Twang Thang',22050,1.083,0.0,5,-4.516,1,175.467,b'TRAACLV128F427E123'
29,"b'SOBZBAZ12A6D4F8742'",59744,"b"Willie Bobo's Finest Hour"","b'AROUOZZ1187B9ABE51'",40.79195,"b'New York NY [Spanish Harlem]'",-73.94512,"b'Willie Bobo'",0.0,168.25424,8,0.812,127.025,4,0.792,"b'Spanish Grease'",1997,nan,0.5888271005018058,0.3796711247498673,b"Willie Bobo's Finest Hour",22050,0.2,0.0,8,-9.616,1,161.89,b'TRAACNS128F14A2DF5'
30,"b'SOVYKGO12AB0187199'",373723,"b'Shake A Hand'","b'ARH4Z031187B9A71F2'",40.73197,"b'Newark NJ'",-74.17418,"b'Faye Adams'",0.0,156.39465,8,0.569,95.957,3,0.689,"b'Crazy Mixed Up World'",1961,0.0,0.3964552539172961,0.2992303679293693,b'Shake A Hand',22050,0.562,0.0,8,-18.051,1,150.634,b'TRAACOW128F933E35F'
31,"b'SOGNCJP12A58A80271'",228326,"b'Occasional Rain'","b'ARB29H41187B98F0EF'",41.88415,"b'Chicago'",-87.63241,"b'Terry Callier'",0.0,342.56934,6,0.381,110.189,3,0.353,"b'Do You Finally Need A Friend'",1972,0.4137398358601097,0.7068276713044582,0.4161730646266773,b'Occasional Rain',22050,0.063,0.0,6,-11.939,1,333.154,b'TRAACPE128F421C1B9'
32,"b'SOLLHMX12AB01846DC'",463514,"b'The Emperor Falls'","b'AR1Y2PT1187FB5B9CE'",27.94017,"b'Brandon'",-82.32547,"b'John Wesley'",0.0,484.62322,4,0.283,138.007,4,0.893,"b'The Emperor Falls'",0,0.3775316449767025,0.5605579839038146,0.45278947675222264,b'The Emperor Falls',22050,28.172,0.0,4,-15.335,0,480.363,b'TRAACQT128F9331780'
33,"b'SOYTPEP12AB0180E7B'",643400,"b'Best of The Shangri-Las'","b'ARAJPHH1187FB5566A'",40.7038,"b'Queens NY'",-73.83168,"b'The Shangri-Las'",0.0,164.80608,10,0.254,130.1,1,0.0,"b'Twist and Shout'",1964,0.4432913119053975,0.6408071019636729,0.4182165181949368,b'Best of The Shangri-Las',22050,0.0,0.0,10,-10.922,1,156.177,b'TRAACSL128F93462F4'
34,"b'SOGXHEG12AB018653E'",663761,"b'20 Of Her Best'","b'AR0RCMP1187FB3F427'",30.08615,"b'Beaumont TX'",-94.10158,"b'Billie Jo Spears'",0.0,133.32853,4,0.384,160.839,1,0.0,"b'It Makes No Difference Now'",1992,0.0,0.5237146369702328,0.3846110839616365,b'20 Of Her Best',22050,0.0,0.0,4,-9.983,1,130.009,b'TRAACTB12903CAAF15'
35,"b'SOOLYAZ12A6701F4A6'",12882,"b'Who Is Mike Jones?'","b'AREBBGV1187FB523D2'",,"b'Houston TX'",,"b"Mike Jones (Featuring CJ_ Mello & Lil' Bran)"",0.0,173.66159,7,0.299,41.993,1,0.0,"b'Laws Patrolling (Album Version)'",0,nan,0.7936050803712417,0.42631795640769016,b'Who Is Mike Jones?',22050,0.0,0.0,7,-7.762,1,164.908,b'TRAACVS128E078BE39'
36,"b'SOGOSOV12AF72A285E'",270281,"b'Tibiri Tabara'","b'ARGUVEV1187B98BA17'",,"b''",,"b'Sierra Maestra'",0.0,313.12934,9,0.724,189.646,3,0.674,"b'\xc2\xbfD\xc3\xb3nde va Chichi?'",1997,nan,0.5015447771039371,0.39273367554668775,b'Tibiri Tabara',22050,0.0,0.0,9,-9.512,1,307.688,b'TRAACZK128F4243829'
37,"b'SOJXVAH12A8C139700'",244586,"b'Piouhgd + Widowermaker!'","b'ARPQ4Z01187FB3A736'",29.42449,"b'San Antonio TX'",-98.49462,"b'Butthole Surfers'",0.0,450.84689,4,0.726,130.586,4,0.42,"b'Barking Dogs (From "Piouhgd")'",0,0.593943075901947,0.8093237930019529,0.48801984168567314,b'Piouhgd + Widowermaker!',22050,0.467,0.0,4,-9.063,0,426.104,b'TRAADDS128F425C68B'
38,"b'SOVXMTN12A8C135A18'",157648,"b'Profities'","b'ARNQAVF11F4C844C04'",,"b''",,"b'Despina Vandi'",0.0,303.09832,8,0.532,128.292,4,0.83,"b'OUTE ENA EFHARISTO'",0,nan,0.632559542284651,0.41168895978577885,b'Profities',22050,0.067,0.0,8,-8.879,0,294.818,b'TRAADED128F42741FD'
39,"b'SORSECL12AB0182267'",644631,"b'Cracks'","b'ARXUT4W1187FB48BEB'",,"b''",,"b'Javier Navarrete'",0.0,128.83546,3,0.0,90.932,3,1.0,"b'Midnight Swim'",0,0.3943948561005826,0.5975412179723806,0.38265197113973687,b'Cracks',22050,0.0,0.0,3,-17.699,1,121.423,b'TRAADEV128F9348C0A'
40,"b'SOOGFBZ12AC3DF7FF2'",730551,"b'Pieces Of Time'","b'ARDD1RC1187B9B52B4'",,"b''",,"b'Jacob Young'",0.0,456.30649,1,0.611,89.667,4,0.747,"b'In A Subtle Way'",0,0.0,0.49544592177023467,0.294861261887382,b'Pieces Of Time',22050,0.241,0.0,1,-19.478,1,451.315,b'TRAADHS12903CE70A9'
41,"b'SOMSBGZ12AB018C4CB'",709879,"b'The Palest Grey'","b'ARLGWFM1187FB4AC9F'",34.05349,"b'California - LA'",-118.24532,"b"Scarlet's Remains"",0.0,198.73914,7,0.673,115.061,4,0.731,"b'Spin'",2007,0.450992311636255,0.5278650761586818,0.3931219335710068,b'The Palest Grey',22050,0.0,0.0,7,-7.469,1,193.016,b'TRAADIV12903CB15C1'
42,"b'SONYRZV12AB018AF70'",706005,"b'A Match & Some Gasoline'","b'ARWYVP51187B98C516'",42.33168,"b'Detroit MI'",-83.04792,"b'The Suicide Machines'",0.0,95.68608,2,0.421,115.887,4,0.744,"b'Burning In The Aftermath'",2003,0.5287824809425877,0.6686745328613157,0.4675384440100101,b'A Match & Some Gasoline',22050,0.0,0.0,2,-2.022,1,87.806,b'TRAADLH12903CA70EE'
43,"b'SONQBUB12A6D4F8ED0'",42595,"b"Jump Back - The Best Of The Rolling Stones_ '71-'93"","b'ARFCUN31187B9AD578'",51.50632,"b'London England'",-0.12714,"b'The Rolling Stones'",0.0,271.49016,9,0.301,139.333,1,0.0,"b'Angie (1993 Digital Remaster)'",0,0.8344926198909054,0.8148296561331122,0.7357656929506414,b"Jump Back - The Best Of The Rolling Stones_ '71-'93",22050,0.171,0.0,9,-10.358,0,263.784,b'TRAADLN128F14832E9'
44,"b'SOHGKJW12AC468A8BD'",782470,"b'Lo Mejor con La Orq. Broadway'","b'AR6YDKV1187B989230'",,"b''",,"b'Roberto Torres'",0.0,226.66404,0,0.863,117.271,4,0.453,"b'Sabor Guajiro'",0,0.0,0.4823560425909108,0.3500785789894733,b'Lo Mejor con La Orq. Broadway',22050,0.311,0.0,0,-12.716,1,219.51,b'TRAADLR12903CF8D7E'
45,"b'SOINBCU12A6D4F94C0'",28723,"b'Grown Man'","b'ARV1JVD1187B9AD195'",35.91463,"b'Chapel Hill NC'",-79.05661,"b'Loudon Wainwright III'",0.0,190.48444,3,0.544,102.428,4,0.496,"b'Human Cannonball'",1995,0.5101193140330347,0.6610801676039384,0.4427658420289504,b'Grown Man',22050,0.258,0.0,3,-15.663,1,177.029,b'TRAADLX128F1469250'
46,"b'SOTWVQT12A58A79650'",557761,"b'A Bothered Mind'","b'AR7TTS41187B9B42D3'",34.36401,"b'Oxford MS'",-89.51877,"b'R.L. Burnside'",0.0,277.78567,2,0.0,89.984,4,0.0,"b'Glory Be'",2004,0.48213758506501503,0.7011808736075507,0.4666288889016846,b'A Bothered Mind',22050,0.24,0.0,2,-6.944,1,267.453,b'TRAADMH128F9343E59'
47,"b'SOTSEJY12AB0180F56'",417945,"b'Greatest Hits'","b'ART3O5Z1187B9AB043'",32.77815,"b'Dallas TX'",-96.7954,"b'Stevie Ray Vaughan'",0.0,248.78975,1,0.754,116.721,4,0.522,"b'Crossfire'",1992,nan,0.7337989404362274,0.544257505724526,b'Greatest Hits',22050,0.183,0.0,1,-7.805,1,246.19,b'TRAADNA128F9331246'
48,"b'SOTSETT12AB01863B8'",575531,"b'Bluesman'","b'AR5U94U1187FB5CDCF'",,"b''",,"b'John Hammond'",0.0,195.3171,7,0.98,123.142,4,0.678,"b"I Can't Be Satisfied"",2002,nan,0.5906929179471623,0.45281783769711387,b'Bluesman',22050,0.0,0.0,7,-10.7,1,187.617,b'TRAADOF12903CAA1C1'
49,"b'SOTUNMH12A6D4FA3E6'",234425,"b'Etiquette'","b'ARRJNTE1187FB44E12'",,"b''",,"b'Casiotone For The Painfully Alone'",0.0,175.72526,0,0.522,141.919,4,0.445,"b'Nashville Parthenon'",2006,0.7858922883883538,0.6653221619060184,0.3942171989010042,b'Etiquette',22050,0.734,0.0,0,-10.93,1,168.699,b'TRAADQX128F422B4CF'
50,"b'SOEPPKB12AB018418B'",505301,"b'Ec8or'","b'AR6IRG41187B9A4D98'",52.51607,"b'Berlin Germany'",13.37698,"b'Ec8or'",0.0,217.23383,10,0.005,95.596,4,1.0,"b'Cocain Ducks'",1995,nan,0.5040756699303163,0.3345773601190987,b'Ec8or',22050,1.042,0.0,10,-9.493,0,213.496,b'TRAADRN128F932D607'
51,"b'SOGKIWV12A6D4F86C4'",74655,"b'Too Much Too Soon'","b'ARS1OWB1187B99EEAD'",,"b'New York NY'",,"b'The New York Dolls'",0.0,344.05832,11,0.425,154.953,1,0.0,"b'Human Being'",1974,0.5616924111789523,0.717670524728552,0.4793084593382274,b'Too Much Too Soon',22050,0.068,0.0,11,-9.253,1,335.029,b'TRAADVH128EF34DE7A'
52,"b'SOPHYIS12AAF3B35A3'",322532,"b'Bossa Nova Stories'","b'ARGMXQW1187FB54C34'",-23.56287,"b'Sao Paulo Brazil'",-46.65466,"b'Eliane Elias'",0.0,251.42812,7,0.391,86.091,5,0.551,"b'The More I See You'",2009,0.4348380902608562,0.6697261875661445,0.42791424698295477,b'Bossa Nova Stories',22050,0.071,0.0,7,-12.009,1,237.598,b'TRAADYB128F92D7E73'
53,"b'SOFHBAR12A6701D0FE'",14592,"b'Love_ Peace & Nappiness'","b'AROEL1B1187B988B90'",,"b'South Jamaica Queens'",,"b'Lost Boyz'",0.0,269.7922,7,0.715,90.218,4,1.0,"b'Certain Things We Do'",1997,0.4051157216913865,0.5697411522818971,0.41224060053560735,b'Love_ Peace & Nappiness',22050,0.218,0.0,7,-11.043,1,257.416,b'TRAADYI128E078FB38'
54,"b'SOCPRKM12AB018A2FD'",515081,"b'Germicide'","b'AR8W8DN1187FB35ED0'",34.05349,"b'Los Angeles CA'",-118.24532,"b'The Germs'",0.0,206.05342,11,0.641,133.144,1,0.0,"b'Forming'",1977,nan,0.6400483571565447,0.40439264015477133,b'Germicide',22050,0.0,0.0,11,-11.506,0,206.053,b'TRAAEAM128F934B199'
55,"b'SOFGHAM12AB0186412'",765750,"b'Mafu\xc3\xa1'","b'ARUWLCL1187FB549B8'",,"b''",,"b'Yamandu Costa'",0.0,190.04036,2,0.105,205.317,4,0.0,"b'Mafu\xc3\xa1'",0,nan,0.3977728757878008,0.38347574490669173,b'Mafu\xc3\xa1',22050,0.0,0.0,2,-14.179,1,176.924,b'TRAAEDJ12903CCE390'
56,"b'SODHVES12A6701CE6B'",17220,"b'The Road To Hell Part 2'","b'AR3793X1187FB50CB3'",,"b'Middlesbrough England'",,"b'Chris Rea'",0.0,241.162,9,0.222,180.149,4,0.0,"b'Driving Home For Christmas'",1986,0.767727748373397,0.643182772912233,0.500691340913453,b'The Road To Hell Part 2',22050,0.549,0.0,9,-8.531,1,230.342,b'TRAAEEH128E0795DFE'
57,"b'SOXIATP12AAF3B2184'",617077,"b'Vanguard Visionaries'","b'ARINEWW1187FB5577E'",,"b''",,"b'Perrey And Kingsley'",0.0,122.64444,0,0.61,102.538,4,0.869,"b'Spooks In Space'",1966,0.4348380902608562,0.4114210482617737,0.3384148184832545,b'Vanguard Visionaries',22050,0.99,0.0,0,-8.541,0,109.627,b'TRAAELO128F9302DD1'
58,"b'SOGNQWU12A8AE4868F'",278999,"b'Be Yourself Tonight'","b'ARDGB6U1187FB3AD07'",51.50632,"b'London England'",-0.12714,"b'Eurythmics'",0.0,207.0722,0,0.442,84.164,4,0.853,"b'Tous Les Gar\xc3\xa7ons Et Les Filles'",1985,0.38293509007501925,0.7510076200369779,0.5236990777653908,b'Be Yourself Tonight',22050,2.583,0.0,0,-6.629,1,202.757,b'TRAAEMJ128F425A917'
59,"b'SOYQOFI12A6D4F76E1'",19601,"b'Hometown 2001'","b'AR2J2WF1187FB46271'",54.48303,"b'Egremont Cumbria England'",-3.53444,"b'Francis Dunnery'",0.0,300.79955,7,0.666,124.175,4,0.698,"b'Too Much Saturn'",1995,0.6104742577715245,0.548585130198109,0.3835242473277272,b'Hometown 2001',22050,0.0,0.0,7,-13.33,1,298.347,b'TRAAENC128F1451DE9'
60,"b'SOVOLGY12A6D4F822B'",38599,"b'Eat / Kiss: Music For The Films By Andy Warhol'","b'ARUI8651187B9ACF52'",,"b'Garnant Wales'",,"b'John Cale'",0.0,228.46649,7,0.458,137.004,1,0.0,"b'Movement 4 [from Kiss] (Album Version)'",1997,0.2265553139555314,0.7493178009614533,0.48165586241245567,b'Eat / Kiss: Music For The Films By Andy Warhol',22050,0.0,0.0,7,-12.412,1,228.466,b'TRAAENP128F147BF32'
61,"b'SOMZCVH12AB0182B8E'",619882,"b'The Ultimate Most Relaxing New Age Piano in the Universe'","b'AR89DTT1187B9A7ED5'",37.77916,"b'California - SF'",-122.42005,"b'Suzanne Ciani'",0.0,239.59465,7,0.527,106.33,4,0.526,"b'Stream'",0,0.4159831182884585,0.6319466659983671,0.3807045358244573,b'The Ultimate Most Relaxing New Age Piano in the Universe',22050,0.311,0.0,7,-21.552,1,236.507,b'TRAAEOU128F9309DE0'
62,"b'SONXJBL12AAF3B2C0C'",618615,"b'Classic Gold: Best of All'","b'ARMD0G81187B99A519'",,"b''",,"b'Vickie Winans'",0.0,228.93669,11,0.172,107.961,4,1.0,"b'Make Me Over'",0,nan,0.6539378209700205,0.3968558693253486,b'Classic Gold: Best of All',22050,0.338,0.0,11,-8.686,0,219.574,b'TRAAERU128F930674F'
63,"b'SOYWZTU12AB0180E26'",681639,"b'The Berzerker'","b'AR0VZWC1187B99BA57'",-37.81753,"b'Melbourne Australia'",144.96715,"b'The Berzerker'",0.0,165.61587,1,0.108,174.287,3,0.132,"b'Deform (live)'",2000,0.0,0.6683706115518646,0.45755390983649336,b'The Berzerker',22050,2.171,0.0,1,-6.222,1,165.616,b'TRAAEUB12903CDD3EA'
64,"b'SOLGHDZ12AB0183B11'",449471,"b'Holy Roller Novocaine'","b'ARF2EHS1187B994F4E'",36.16778,"b'Nashville Tennessee'",-86.77836,"b'Kings Of Leon'",0.0,187.92444,0,0.612,116.823,4,0.347,"b'Wicker Chair'",2003,0.6859402266976852,0.8457688664485438,0.7888059351620142,b'Holy Roller Novocaine',22050,0.328,0.0,0,-5.907,1,180.344,b'TRAAEWG128F930B3A4'
65,"b'SOTNTNJ12AAA15FBD6'",321356,"b'Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel)'","b'ARZKRD01187FB45FD2'",,"b''",,"b'Edith Lefel'",0.0,276.50567,0,0.29,101.972,4,1.0,"b"An ti chans'"",0,0.0,0.40745564385201366,0.30004649036641506,b'Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel)',22050,0.299,0.0,0,-4.638,1,261.956,b'TRAAEXM128F92D47C8'
66,"b'SOXZXXV12AAF3B3A67'",530141,"b'I Will Love Again'","b'ARK4H5K1187B992F74'",,"b''",,"b'Taras'",0.0,200.25424,11,0.056,127.97,4,0.0,"b"I Will Love Again (JJ's Club Radio)"",0,nan,0.46017132366610164,0.18931487775261457,b'I Will Love Again',22050,0.0,0.0,11,-5.884,0,194.844,b'TRAAFEB128F92F8694'
67,"b'SOPIKEG12A58291636'",104765,"b'White Trash ......'","b'AR06EB01187FB40150'",,"b'Berkeley CA'",,"b'NOFX'",0.0,144.50893,4,0.093,152.622,4,0.358,"b'Stickin In My Eye'",1992,0.6712360269845353,0.7788167165625715,0.5542914890128156,b'White Trash ......',22050,0.237,0.0,4,-7.787,0,140.057,b'TRAAFJW128F428A424'
